fpr,tpr,thresholds,roc_auc
0.0,0.0,inf,0.9983164983164983
0.0,0.7037037037037037,1.0,0.9983164983164983
0.0,0.8518518518518519,0.9857142857142858,0.9983164983164983
0.0,0.8888888888888888,0.9,0.9983164983164983
0.0,0.9629629629629629,0.8,0.9983164983164983
0.045454545454545456,0.9629629629629629,0.2857142857142857,0.9983164983164983
0.045454545454545456,1.0,0.27,0.9983164983164983
0.09090909090909091,1.0,0.21000000000000002,0.9983164983164983
0.18181818181818182,1.0,0.2,0.9983164983164983
0.3181818181818182,1.0,0.03333333333333333,0.9983164983164983
0.4090909090909091,1.0,0.02,0.9983164983164983
1.0,1.0,0.0,0.9983164983164983
