precision,recall,thresholds
0.7714285714285715,1.0,0.0
0.7941176470588235,1.0,0.05
0.84375,1.0,0.075
0.8709677419354839,1.0,0.08421052631578947
0.9,1.0,0.1
0.896551724137931,0.9629629629629629,0.175
0.9285714285714286,0.9629629629629629,0.225
0.9629629629629629,0.9629629629629629,0.33214285714285713
1.0,0.9629629629629629,0.39880952380952384
1.0,0.9259259259259259,0.5875
1.0,0.8888888888888888,0.7333333333333333
1.0,0.8518518518518519,0.7833333333333333
1.0,0.8148148148148148,0.8988095238095237
1.0,0.7777777777777778,0.9642105263157894
1.0,0.7407407407407407,0.9717105263157894
1.0,0.6666666666666666,0.9842105263157894
1.0,0.07407407407407407,0.9988095238095237
1.0,0.0,1.0
